day,PP_F0,PP_F0_M,PP_F0_SD,PP_F0_SD_M,PP_LHR,PP_LHR_M,PP_CPP_M,PP_CPP_M2,PP_CPP_SD_M,PP_HNR,PP_HNR_M,PP_JIT_local,PP_JIT_abs,PP_JIT_rap,PP_JIT_ppq5,PP_JIT_ddp,PP_JIT_M_local,PP_JIT_M_abs,PP_JIT_M_rap,PP_JIT_M_ppq5,PP_JIT_M_ddp,PP_SHI_local,PP_SHI_localdb,PP_SHI_apq3,PP_SHI_apq5,PP_SHI_apq11,PP_SHI_dda,PP_SHI_M_local,PP_SHI_M_localdb,PP_SHI_M_apq3,PP_SHI_M_apq5,PP_SHI_M_apq11,PP_SHI_M_dda,PP_GF1_MEA,PP_GF2_MEA,PP_GF3_MEA,PP_GF4_MEA,PP_GF5_MEA,PP_GF1_MED,PP_GF2_MED,PP_GF3_MED,PP_GF4_MED,PP_GF5_MED,PP_GF1_SD,PP_GF2_SD,PP_GF3_SD,PP_GF4_SD,PP_GF5_SD,PP_F1_MEA,PP_F2_MEA,PP_F3_MEA,PP_F4_MEA,PP_F5_MEA,PP_F1_MED,PP_F2_MED,PP_F3_MED,PP_F4_MED,PP_F5_MED,PP_F1_SD,PP_F2_SD,PP_F3_SD,PP_F4_SD,PP_F5_SD,DV_PRO_F0avg,DV_PRO_F0std,DV_PRO_F0max,DV_PRO_F0min,DV_PRO_F0skew,DV_PRO_F0kurt,DV_PRO_F0tiltavg,DV_PRO_F0mseavg,DV_PRO_F0tiltstd,DV_PRO_F0msestd,DV_PRO_F0tiltmax,DV_PRO_F0msemax,DV_PRO_F0tiltmin,DV_PRO_F0msemin,DV_PRO_F0tiltskw,DV_PRO_F0mseskw,DV_PRO_F0tiltku,DV_PRO_F0mseku,DV_PRO_1F0mean,DV_PRO_1F0std,DV_PRO_1F0max,DV_PRO_1F0min,DV_PRO_1F0skw,DV_PRO_1F0ku,DV_PRO_lastF0avg,DV_PRO_lastF0std,DV_PRO_lastF0max,DV_PRO_lastF0min,DV_PRO_lastF0skw,DV_PRO_lastF0ku,DV_PRO_avgEvoiced,DV_PRO_stdEvoiced,DV_PRO_skwEvoiced,DV_PRO_kurtosisEvoiced,DV_PRO_avgtiltEvoiced,DV_PRO_stdtiltEvoiced,DV_PRO_skwtiltEvoiced,DV_PRO_kurtosistiltEvoiced,DV_PRO_avgmseEvoiced,DV_PRO_stdmseEvoiced,DV_PRO_skwmseEvoiced,DV_PRO_kurtosismseEvoiced,DV_PRO_avg1Evoiced,DV_PRO_std1Evoiced,DV_PRO_max1Evoiced,DV_PRO_min1Evoiced,DV_PRO_skw1Evoiced,DV_PRO_kurtosis1Evoiced,DV_PRO_avglastEvoiced,DV_PRO_stdlastEvoiced,DV_PRO_maxlastEvoiced,DV_PRO_minlastEvoiced,DV_PRO_skwlastEvoiced,DV_PRO_kurtosislastEvoiced,DV_PRO_avgEunvoiced,DV_PRO_stdEunvoiced,DV_PRO_skwEunvoiced,DV_PRO_kurtosisEunvoiced,DV_PRO_avgtiltEunvoiced,DV_PRO_stdtiltEunvoiced,DV_PRO_skwtiltEunvoiced,DV_PRO_kurtosistiltEunvoiced,DV_PRO_avgmseEunvoiced,DV_PRO_stdmseEunvoiced,DV_PRO_skwmseEunvoiced,DV_PRO_kurtosismseEunvoiced,DV_PRO_avg1Eunvoiced,DV_PRO_std1Eunvoiced,DV_PRO_max1Eunvoiced,DV_PRO_min1Eunvoiced,DV_PRO_skw1Eunvoiced,DV_PRO_kurtosis1Eunvoiced,DV_PRO_avglastEunvoiced,DV_PRO_stdlastEunvoiced,DV_PRO_maxlastEunvoiced,DV_PRO_minlastEunvoiced,DV_PRO_skwlastEunvoiced,DV_PRO_kurtosislastEunvoiced,DV_PRO_Vrate,DV_PRO_avgdurvoiced,DV_PRO_stddurvoiced,DV_PRO_skwdurvoiced,DV_PRO_kurtosisdurvoiced,DV_PRO_maxdurvoiced,DV_PRO_mindurvoiced,DV_PRO_avgdurunvoiced,DV_PRO_stddurunvoiced,DV_PRO_skwdurunvoiced,DV_PRO_kurtosisdurunvoiced,DV_PRO_maxdurunvoiced,DV_PRO_mindurunvoiced,DV_PRO_avgdurpause,DV_PRO_stddurpause,DV_PRO_skwdurpause,DV_PRO_kurtosisdurpause,DV_PRO_maxdurpause,DV_PRO_mindurpause,DV_PRO_PVU,DV_PRO_PU,DV_PRO_UVU,DV_PRO_VVU,DV_PRO_VP,DV_PRO_UP,DV_PHO_avg DF0,DV_PHO_avg DDF0,DV_PHO_avg Jitter,DV_PHO_avg Shimmer,DV_PHO_avg apq,DV_PHO_avg ppq,DV_PHO_avg logE,DV_PHO_std DF0,DV_PHO_std DDF0,DV_PHO_std Jitter,DV_PHO_std Shimmer,DV_PHO_std apq,DV_PHO_std ppq,DV_PHO_std logE,DV_PHO_skewness DF0,DV_PHO_skewness DDF0,DV_PHO_skewness Jitter,DV_PHO_skewness Shimmer,DV_PHO_skewness apq,DV_PHO_skewness ppq,DV_PHO_skewness logE,DV_PHO_kurtosis DF0,DV_PHO_kurtosis DDF0,DV_PHO_kurtosis Jitter,DV_PHO_kurtosis Shimmer,DV_PHO_kurtosis apq,DV_PHO_kurtosis ppq,DV_PHO_kurtosis logE,DV_GLO_global avg var GCI,DV_GLO_global avg avg NAQ,DV_GLO_global avg std NAQ,DV_GLO_global avg avg QOQ,DV_GLO_global avg std QOQ,DV_GLO_global avg avg H1H2,DV_GLO_global avg std H1H2,DV_GLO_global avg avg HRF,DV_GLO_global avg std HRF,DV_GLO_global std var GCI,DV_GLO_global std avg NAQ,DV_GLO_global std std NAQ,DV_GLO_global std avg QOQ,DV_GLO_global std std QOQ,DV_GLO_global std avg H1H2,DV_GLO_global std std H1H2,DV_GLO_global std avg HRF,DV_GLO_global std std HRF,DV_GLO_global skewness var GCI,DV_GLO_global skewness avg NAQ,DV_GLO_global skewness std NAQ,DV_GLO_global skewness avg QOQ,DV_GLO_global skewness std QOQ,DV_GLO_global skewness avg H1H2,DV_GLO_global skewness std H1H2,DV_GLO_global skewness avg HRF,DV_GLO_global skewness std HRF,DV_GLO_global kurtosis var GCI,DV_GLO_global kurtosis avg NAQ,DV_GLO_global kurtosis std NAQ,DV_GLO_global kurtosis avg QOQ,DV_GLO_global kurtosis std QOQ,DV_GLO_global kurtosis avg H1H2,DV_GLO_global kurtosis std H1H2,DV_GLO_global kurtosis avg HRF,DV_GLO_global kurtosis std HRF
0,104.75391936166383,104.82789627030932,1.195809695546629,0.7327507404834392,-2.699306396424932,-3.5727175413381884,0.12920318316679352,0.12721393762715227,0.04265607586335343,3.8494186402872894,3.8914150233922338,0.008755208351574603,8.340701315520252e-05,0.005154701709668492,0.005573160862978488,0.015464105129005475,0.006552946165511962,6.26196657147354e-05,0.0038918108891411443,0.00456189475818864,0.011675432667423432,0.15639042599219477,0.15639042599219477,0.0764568315297888,0.0870392647466429,0.11167024735821503,0.2293704945893664,0.13978991802311286,0.13978991802311286,0.060749417423859996,0.0849626920933505,0.09852325776063774,0.18224825227157998,311.10861698189234,2166.3656678975167,2898.128326583174,3385.3494776410575,4302.4126038283475,314.64689684019146,2159.820953160105,2891.232206566002,3381.5687186015543,4305.226310990956,29.076934022749633,62.199169838652935,34.88712353591093,73.47182415385889,69.09390199401821,327.5050027479037,2171.515607595108,2909.4738096229453,3411.076838969631,4316.432823555664,312.3349607982908,2152.3000235400223,2893.5194193753487,3396.3257161487595,4316.841016758823,188.9327184001641,101.75563936075027,64.59917941064163,104.68044994764608,69.47338451701971,104.87173461914062,0.788898229598999,107.6275405883789,102.99003601074219,0.9473696921790248,1.7085376873863014,-2.713077222675307,0.17957404165681304,6.332324272587574,0.1038987063523275,6.206424563538547,0.3294781934470665,-13.644027709961243,0.054140487378591645,-0.4234436098824231,0.2668679710983177,-0.9382445138817301,-1.5312189975659078,106.7598876953125,0.4928106963634491,107.6275405883789,106.08643341064453,0.40869644523142745,-0.9668837089724369,104.5345687866211,0.5716567635536194,105.71508026123047,103.39081573486328,0.1414882243298751,0.2434332431519448,-18.616445761853576,0.8699782131032485,-0.10339917262935322,-0.7313318622858701,3.510298171220258,21.961014186284746,0.4356065937230928,0.34795938569580764,0.6168024960228501,0.531320961939203,1.0494222994498221,0.36539418444196237,-15.98220742921281,1.5978470805063474,-14.461913837846776,-18.489184006210277,-0.45455086860877797,-1.6256388367143926,-17.333159367934588,0.5431628488561795,-16.430896322652274,-17.9916859582943,0.3051415299454828,-1.2215450683609617,-20.01370918681069,1.2496226527479581,-0.14494056606141625,-1.384025050419596,-40.54845363958632,58.182154498089325,-1.2942289158839595,-0.04593072688833866,0.8289841855878114,0.38693938482431844,0.6526113164324602,-0.8158496577076328,-20.65254096757624,1.7669989015358951,-18.47651705358848,-23.77998588301581,-0.31270623136002723,-1.3373848663626213,-19.51742063955313,1.8576933361414416,-16.912560771294988,-21.457591658148218,0.2836312070535272,-1.596796240698965,2.5188916876574305,0.16125,0.15284285230261835,1.9306591567662705,2.322415004167561,0.55,0.03,0.08399999999999999,0.038781438859330636,0.2312468379245123,-1.7552908555907651,0.13,0.04,0.23750000000000002,0.07258615570478986,0.5576879868235263,-1.186484467015363,0.35,0.16,0.9683995922528034,2.827380952380953,0.3425076452599388,0.6574923547400612,0.6789473684210526,0.3536842105263157,-0.016164779663085938,0.02553071454167366,0.4878772144991703,6.821183001536209,9.222283579887206,0.3502940190110493,-18.167394044930212,0.6833368539810181,1.0773768424987793,0.41510813043790246,9.464720758051367,7.20740070673753,0.246328123238026,1.0160233077642544,0.054254548855869916,0.5984810933121127,1.1958096351677998,1.8952865774343588,1.8214801203462379,0.5316218027292023,-0.7726869163835162,0.3934963429832292,0.2217753773697564,0.7945136913601214,4.248174239140297,4.549782738394481,-0.5786812882591787,-0.038785497595952734,0.0007797189540476601,0.0023576533419540037,0.0010216911234703816,0.16769975308845092,0.06143586866927892,10.017103192895593,9.38213703613225,22.697258136564198,471.815786693701,0.00010907980420884266,0.00026493282115937054,0.00012784767972058895,0.011926522647055085,0.00970058068518033,2.4949243226389446,1.4135373189500253,410.91701126824245,1160.3047888069577,-1.739356839659002,-0.2980423741328065,-0.3954357035579223,-0.7912947144596283,0.0011008257934161955,0.44273700089773493,-1.0311907558423155,-4.907226192417378,4.012061948251754,3.8538300838501014,2.5367332874930817,3.5319645990845974,3.2128751088238117,0.3890263433063912,0.9754101791642893,1.2026516087250583,25.525466279335706,15.20367822094073
1,107.44846995682316,107.46978973920133,1.08595069139405,0.873887932129132,-1.8862150221027112,-2.260353043320932,0.1453107678107301,0.13935218316443726,0.05245158704006058,2.669404971803674,4.926963890104659,0.005876228520589633,5.4726010274397914e-05,0.0035364353664261807,0.003807519843717465,0.010609306099278543,0.004772477280066246,4.461092617174443e-05,0.002764673155529611,0.003123011258001039,0.008294019466588833,0.12734058843450566,0.12734058843450566,0.06852902987524442,0.08051045742883041,0.10704005218166568,0.20558708962573327,0.12057333736049278,0.12057333736049278,0.06031180817375416,0.07590776279483763,0.12312279236190654,0.1809354245212625,962.8982838366662,2538.4987375186456,3087.410304807116,3737.5690997543547,4333.440128132312,312.58877698046126,2487.102540725458,2916.224565792945,3477.593180205227,4296.936602801616,913.4917468657636,330.95431601422183,253.36812712958883,413.4278969732446,215.69506660280618,803.2387450900735,2457.1607686766233,3045.2462739802368,3679.5111738501932,4327.84026528743,324.7864040174227,2309.997245888002,2912.342604739204,3469.7337687150766,4295.904136111416,839.832820944581,323.4666418176498,234.82835520144934,383.41852611516526,208.2963140428255,107.16597747802734,0.9463057518005371,108.85474395751953,105.05168914794922,-0.1528834888286162,-1.2020048047638794,-0.6692395373553772,0.27815640541330316,2.537229680579838,0.015807941345840015,1.867990143224461,0.2939643467591432,-3.2064692179352154,0.26234846406746315,0.0,0.0,-2.0,-2.0,106.29188537597656,0.5484693646430969,107.27992248535156,105.68479919433594,0.49510847929097695,-1.1443411491107445,107.21986389160156,0.9392288327217102,108.85474395751953,105.05168914794922,-0.23601352254942548,-1.1447398968270068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33692722371967654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02520790509879589,0.000594603712670505,0.4389777263800905,5.470923137665894,10.059252273820741,0.2768258035899117,-18.514149718319835,0.6304747462272644,1.085240125656128,0.3738159236858938,6.5982141684889335,7.519919892809843,0.24659778120487408,1.8336862761210295,0.03744206780707222,-0.18328189209620882,1.4246432472924457,1.364868267092569,1.000514648804705,1.7400405654932518,-0.6815898950546335,0.801683664481839,0.6536444885995478,1.94064759035225,1.3384266093989208,0.19259288695463095,5.0510533078956446,-0.760039177182998,0.0023142850737155204,0.002557349198836492,0.0012044084476236867,0.21030705061394836,0.1081995851562773,9.028342035285785,8.730594111946473,71.14478604246396,360.7956292943776,0.004626551568234983,0.0002645831563373117,9.93120344121554e-05,0.03215702637292629,0.02780482268675813,2.2485115725117852,1.6342952664451338,115.65415193183011,491.814541031374,4.02887973659607,-0.28499129355612707,0.4113017260838549,-0.2735166401736982,-0.317507988629487,0.44458216939948736,-0.3121121286208923,0.09101255317577071,3.82265669659226,15.79707160198604,-0.512254309876071,-0.4666537710037857,-0.8843891826072863,-0.8751081634575031,0.5591747904986666,0.7476028793066942,1.2392578806365293,17.825491214429803
2,109.94467142271597,109.97336104317792,1.7500577762241993,1.0541718729842104,-0.11818111623978188,0.12849592014078126,0.08244261439964545,0.07599562403427298,0.026243462227901384,1.3752439362459101,1.4944910671428135,0.00667327469371588,6.037572426678384e-05,0.004478782935785369,0.004969086525795191,0.013436348807356106,0.006271213140459493,5.675447399920615e-05,0.004021830156983131,0.004221793766304782,0.012065490470949392,0.14004114450071134,0.14004114450071134,0.08121349508509958,0.07452232833219041,0.09367517615795151,0.24364048525529874,0.10670476608097174,0.10670476608097174,0.057915045370780606,0.06895670146938633,0.10163000982837926,0.17374513611234182,1794.2922111639596,2724.1502857791243,3234.372029753831,4050.5480991085055,4551.051455814979,2056.019946740226,2821.249774207303,3314.520567611831,4203.092323698069,4567.828468885293,719.6832788321751,255.73260285405343,175.08458661411353,409.3266881567805,154.0962856343839,859.5329937141812,2386.622270816252,3024.2213183762356,3674.2073325002557,4519.928959931698,320.13071360048303,2227.46463433784,2908.128773003876,3397.934620666027,4530.649070736572,834.5083622859553,327.23807295360183,211.08936059584013,470.29978885972594,160.98372314567808,110.4085922241211,0.49378538131713867,111.12615966796875,109.70015716552734,0.05241153564134098,-1.4787109651988362,-6.9605917459011,0.16509302651816307,0.0,0.0,-6.9605917459011,0.16509302651816307,-6.9605917459011,0.16509302651816307,,,,,110.4085922241211,0.49378538131713867,111.12615966796875,109.70015716552734,0.05241153564134098,-1.4787109651988362,110.4085922241211,0.49378538131713867,111.12615966796875,109.70015716552734,0.05241153564134098,-1.4787109651988362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003365944341992156,0.0021363639320980377,0.0011844675033904387,0.25934227078819105,0.19874205301153725,9.390932214507599,10.335017078331978,64.24402396227941,120.19796542540767,0.006632506843811563,0.0004253576590216793,0.00028520146768198554,0.08016050992745191,0.2085353652058596,1.8731368938656816,4.498335803719283,30.216407594622687,79.67438570517207,3.7543178998158173,1.1886110824293161,0.056669055932155335,2.8081903618694595,3.745117358677026,0.41660819821918976,0.807976934997107,-0.47134117055118224,0.42055444082805943,12.436639455963679,0.34087944656223046,0.12215778925085186,8.293884179579937,12.428705908870914,-1.0022215330597855,-0.3043607124711176,0.29922313336786033,-1.3417049145963362
3,113.32607105697488,113.31179431337733,0.9650158003541182,0.7478075330717077,-5.246132230378033,-6.778638300755806,0.11718517905175935,0.11232928667809107,0.03959961780720441,2.1734674586659373,1.9605353544207855,0.004401695375959341,3.8877073188998164e-05,0.0024052274642551506,0.0030744819685457575,0.007215682392765451,0.01426330340162199,0.0001265236010361548,,,,0.1464187898871718,0.1464187898871718,0.07131151899105491,0.10519658377885158,0.2035549617008744,0.2139345569731647,,,,,,,586.0645397135231,2350.4182393466635,3035.8554399920067,3580.83071760584,4314.74930957972,307.2602897523038,2226.8550594061917,2954.7949045893347,3471.1573264445938,4313.041193981302,685.4402116843228,297.28988625561294,214.8128810572513,271.72574398251044,258.9662917600862,447.46163613573697,2240.504253207163,2959.846171575962,3528.8861520003416,4557.265327717064,312.5692447996151,2167.6420695804927,2901.7388877964863,3476.44466150141,4616.066922222715,480.2534614463562,222.33960679972995,173.91642574406688,202.522338405996,282.1476720498391,113.02738189697266,0.8133429288864136,115.63675689697266,111.33543395996094,0.9204501859802013,1.211879132171302,-2.6394882782811755,0.3771031020684767,0.0,0.0,-2.6394882782811755,0.3771031020684767,-2.6394882782811755,0.3771031020684767,,,,,113.02738189697266,0.8133429288864136,115.63675689697266,111.33543395996094,0.9204501859802013,1.211879132171302,113.02738189697266,0.8133429288864136,115.63675689697266,111.33543395996094,0.9204501859802013,1.211879132171302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21746826171875,0.09985639899969101,0.4690515507010662,6.884426097987222,15.098669532200654,0.31808007983108616,-19.13922707578041,0.8532835245132446,1.138030767440796,0.5466957223398591,8.575752361904975,10.906290930202669,0.2365853812860675,1.7470140550998754,-1.6502708265938428,0.34699320020006463,2.826960367665627,1.9315280923937304,1.446380804147032,0.5925005738812807,0.12745924897210742,5.159559437530113,0.6134600957002956,10.258819883601927,4.172473364782271,2.602074236497689,-0.23907048395723152,-1.004580779604382,0.0010599296148447654,0.0029134186788508515,0.0009109318296420979,0.24514340952397082,0.05969957114121965,10.67106619239654,9.83242181782368,65.91193597778738,446.0913111559706,0.00010988815191486463,0.0002607208428370306,0.00014541556670917156,0.031067614405728385,0.01063391397961092,1.5935385180670076,1.220113789175415,140.64651047669312,459.5643373940309,1.3483980589042988,-0.47082433874620794,-0.044742555533454735,-0.6402323877277374,-0.27610005061502196,0.7979759773117251,0.16982503469839383,-2.0575697849558012,1.5847190994438294,1.183018260994725,0.07912618736519983,-0.6511327961584783,-0.7837418911707963,-0.815234019598817,-0.26459233096756174,0.6423908230621045,5.823569443993232,1.822533281233011
4,109.23070474145581,109.20705367489586,1.2778399992103047,0.8377061823929451,-4.249631236252265,-4.987697820823984,0.10613207615272903,0.09706588801487429,0.034836840023323115,3.434029539357159,4.031487871006675,0.014000229612543259,0.00012848577019006894,0.00889107605930293,0.009231762565477263,0.026673228177908792,0.016714501127605787,0.00015341115057494625,0.010965041257000579,0.009434690762349068,0.03289512377100173,0.20270035235493714,0.20270035235493714,0.11656252488689411,0.11813322849820529,0.14874602915513227,0.34968757466068234,0.16347960358618555,0.16347960358618555,0.0876002640565238,0.0900426182700173,0.12905860361084276,0.2628007921695714,349.4447865256816,2116.346563248789,2904.448831502449,3411.1891317211002,4315.311109332121,326.8289132447242,2087.5050023435597,2884.2345638062834,3385.3385020927135,4299.142742979727,249.990499235596,136.9007735864513,91.17478755317741,139.89661651226268,94.8568963358397,339.0338012247382,2122.2228511723038,2896.1965606119693,3413.6689755297166,4314.174717563196,323.19093122992246,2090.42009990733,2881.505910067991,3394.6179700124953,4307.9490978021295,207.37401075082835,123.56989282033724,77.0705397771177,114.15481005921198,87.45825856669504,108.79874420166016,0.5909523367881775,110.08397674560547,107.41368865966797,0.04526604371256428,-0.659511814242435,1.0860180893047908,0.2968577865249803,0.0,0.0,1.0860180893047908,0.2968577865249803,1.0860180893047908,0.2968577865249803,,,,,108.79874420166016,0.5909523367881775,110.08397674560547,107.41368865966797,0.04526604371256428,-0.659511814242435,108.79874420166016,0.5909523367881775,110.08397674560547,107.41368865966797,0.04526604371256428,-0.659511814242435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04912567138671875,-0.0003346034500282258,0.4650559725034195,8.250062662544774,12.545477552574216,0.3171933825060736,-16.71874290497904,0.6620375514030457,1.1264461278915405,0.37482364248349176,8.853149154895215,8.753122455830436,0.2568081069070206,1.2397452451448507,-0.28612370047616226,0.0891439537280052,1.0069740364410253,0.8126664783942137,0.2147723939799375,1.3153486015516744,-0.4024530879949059,0.10286027865486291,-0.3105867430225828,0.3966243186313001,-0.5700491316458582,-1.2005985664157155,1.149344621529833,-0.8193084960090342,0.002858216670902974,0.0026251857369133727,0.001276932381162348,0.18411677337053928,0.09701069062090649,7.870968453536217,8.361661654403981,63.34274828845172,839.2463256454271,0.004223623083776781,0.0004208835830072515,0.00036836139039742396,0.0237108935687519,0.0526244546001403,2.289661981664603,2.0439844850130875,511.5916696177896,2119.5673183383037,4.7684321290994385,-0.4551259894778516,-0.19824185581737055,0.4470094005588009,1.1243368929649558,0.33092615300462136,-0.5747728568166006,1.5024152222160145,3.840829017100291,22.516768213131026,-0.9038511247426069,-1.0769904021476926,-0.27489730743277185,1.7582568833269416,0.37736278428975956,-0.04851517402949046,15.634405628684434,15.401724062640149
