day,PP_F0,PP_F0_M,PP_F0_SD,PP_F0_SD_M,PP_CPP_M,PP_CPP_M2,PP_CPP_SD_M,PP_DUR_WP,PP_DUR_WOP,PP_JIT_local,PP_JIT_abs,PP_JIT_rap,PP_JIT_ppq5,PP_JIT_ddp,PP_JIT_M_local,PP_JIT_M_abs,PP_JIT_M_rap,PP_JIT_M_ppq5,PP_JIT_M_ddp,PP_SHI_local,PP_SHI_localdb,PP_SHI_apq3,PP_SHI_apq5,PP_SHI_apq11,PP_SHI_dda,PP_SHI_M_local,PP_SHI_M_localdb,PP_SHI_M_apq3,PP_SHI_M_apq5,PP_SHI_M_apq11,PP_SHI_M_dda,PP_MFC_1_mean,PP_MFC_1_sd,PP_MFC_1_skew,PP_MFC_1_kurt,PP_MFC_1_median,PP_MFC_1_min,PP_MFC_1_max,PP_MFC_2_mean,PP_MFC_2_sd,PP_MFC_2_skew,PP_MFC_2_kurt,PP_MFC_2_median,PP_MFC_2_min,PP_MFC_2_max,PP_MFC_3_mean,PP_MFC_3_sd,PP_MFC_3_skew,PP_MFC_3_kurt,PP_MFC_3_median,PP_MFC_3_min,PP_MFC_3_max,PP_MFC_4_mean,PP_MFC_4_sd,PP_MFC_4_skew,PP_MFC_4_kurt,PP_MFC_4_median,PP_MFC_4_min,PP_MFC_4_max,PP_MFC_5_mean,PP_MFC_5_sd,PP_MFC_5_skew,PP_MFC_5_kurt,PP_MFC_5_median,PP_MFC_5_min,PP_MFC_5_max,PP_MFC_6_mean,PP_MFC_6_sd,PP_MFC_6_skew,PP_MFC_6_kurt,PP_MFC_6_median,PP_MFC_6_min,PP_MFC_6_max,PP_MFC_7_mean,PP_MFC_7_sd,PP_MFC_7_skew,PP_MFC_7_kurt,PP_MFC_7_median,PP_MFC_7_min,PP_MFC_7_max,PP_MFC_8_mean,PP_MFC_8_sd,PP_MFC_8_skew,PP_MFC_8_kurt,PP_MFC_8_median,PP_MFC_8_min,PP_MFC_8_max,PP_MFC_9_mean,PP_MFC_9_sd,PP_MFC_9_skew,PP_MFC_9_kurt,PP_MFC_9_median,PP_MFC_9_min,PP_MFC_9_max,PP_MFC_10_mean,PP_MFC_10_sd,PP_MFC_10_skew,PP_MFC_10_kurt,PP_MFC_10_median,PP_MFC_10_min,PP_MFC_10_max,PP_MFC_11_mean,PP_MFC_11_sd,PP_MFC_11_skew,PP_MFC_11_kurt,PP_MFC_11_median,PP_MFC_11_min,PP_MFC_11_max,PP_MFC_12_mean,PP_MFC_12_sd,PP_MFC_12_skew,PP_MFC_12_kurt,PP_MFC_12_median,PP_MFC_12_min,PP_MFC_12_max,PP_F1_MEA,PP_F2_MEA,PP_F3_MEA,PP_F4_MEA,PP_F5_MEA,PP_F1_MED,PP_F2_MED,PP_F3_MED,PP_F4_MED,PP_F5_MED,PP_F1_SD,PP_F2_SD,PP_F3_SD,PP_F4_SD,PP_F5_SD,DV_PRO_F0avg,DV_PRO_F0std,DV_PRO_F0max,DV_PRO_F0min,DV_PRO_F0skew,DV_PRO_F0kurt,DV_PRO_F0tiltavg,DV_PRO_F0mseavg,DV_PRO_F0tiltstd,DV_PRO_F0msestd,DV_PRO_F0tiltmax,DV_PRO_F0msemax,DV_PRO_F0tiltmin,DV_PRO_F0msemin,DV_PRO_F0tiltskw,DV_PRO_F0mseskw,DV_PRO_F0tiltku,DV_PRO_F0mseku,DV_PRO_1F0mean,DV_PRO_1F0std,DV_PRO_1F0max,DV_PRO_1F0min,DV_PRO_1F0skw,DV_PRO_1F0ku,DV_PRO_lastF0avg,DV_PRO_lastF0std,DV_PRO_lastF0max,DV_PRO_lastF0min,DV_PRO_lastF0skw,DV_PRO_lastF0ku,DV_PRO_avgEvoiced,DV_PRO_stdEvoiced,DV_PRO_skwEvoiced,DV_PRO_kurtosisEvoiced,DV_PRO_avgtiltEvoiced,DV_PRO_stdtiltEvoiced,DV_PRO_skwtiltEvoiced,DV_PRO_kurtosistiltEvoiced,DV_PRO_avgmseEvoiced,DV_PRO_stdmseEvoiced,DV_PRO_skwmseEvoiced,DV_PRO_kurtosismseEvoiced,DV_PRO_avg1Evoiced,DV_PRO_std1Evoiced,DV_PRO_max1Evoiced,DV_PRO_min1Evoiced,DV_PRO_skw1Evoiced,DV_PRO_kurtosis1Evoiced,DV_PRO_avglastEvoiced,DV_PRO_stdlastEvoiced,DV_PRO_maxlastEvoiced,DV_PRO_minlastEvoiced,DV_PRO_skwlastEvoiced,DV_PRO_kurtosislastEvoiced,DV_PRO_avgEunvoiced,DV_PRO_stdEunvoiced,DV_PRO_skwEunvoiced,DV_PRO_kurtosisEunvoiced,DV_PRO_avgtiltEunvoiced,DV_PRO_stdtiltEunvoiced,DV_PRO_skwtiltEunvoiced,DV_PRO_kurtosistiltEunvoiced,DV_PRO_avgmseEunvoiced,DV_PRO_stdmseEunvoiced,DV_PRO_skwmseEunvoiced,DV_PRO_kurtosismseEunvoiced,DV_PRO_avg1Eunvoiced,DV_PRO_std1Eunvoiced,DV_PRO_max1Eunvoiced,DV_PRO_min1Eunvoiced,DV_PRO_skw1Eunvoiced,DV_PRO_kurtosis1Eunvoiced,DV_PRO_avglastEunvoiced,DV_PRO_stdlastEunvoiced,DV_PRO_maxlastEunvoiced,DV_PRO_minlastEunvoiced,DV_PRO_skwlastEunvoiced,DV_PRO_kurtosislastEunvoiced,DV_PRO_Vrate,DV_PRO_avgdurvoiced,DV_PRO_stddurvoiced,DV_PRO_skwdurvoiced,DV_PRO_kurtosisdurvoiced,DV_PRO_maxdurvoiced,DV_PRO_mindurvoiced,DV_PRO_avgdurunvoiced,DV_PRO_stddurunvoiced,DV_PRO_skwdurunvoiced,DV_PRO_kurtosisdurunvoiced,DV_PRO_maxdurunvoiced,DV_PRO_mindurunvoiced,DV_PRO_avgdurpause,DV_PRO_stddurpause,DV_PRO_skwdurpause,DV_PRO_kurtosisdurpause,DV_PRO_maxdurpause,DV_PRO_mindurpause,DV_PRO_PVU,DV_PRO_PU,DV_PRO_UVU,DV_PRO_VVU,DV_PRO_VP,DV_PRO_UP,DV_PHO_avg DF0,DV_PHO_avg DDF0,DV_PHO_avg Jitter,DV_PHO_avg Shimmer,DV_PHO_avg apq,DV_PHO_avg ppq,DV_PHO_avg logE,DV_PHO_std DF0,DV_PHO_std DDF0,DV_PHO_std Jitter,DV_PHO_std Shimmer,DV_PHO_std apq,DV_PHO_std ppq,DV_PHO_std logE,DV_PHO_skewness DF0,DV_PHO_skewness DDF0,DV_PHO_skewness Jitter,DV_PHO_skewness Shimmer,DV_PHO_skewness apq,DV_PHO_skewness ppq,DV_PHO_skewness logE,DV_PHO_kurtosis DF0,DV_PHO_kurtosis DDF0,DV_PHO_kurtosis Jitter,DV_PHO_kurtosis Shimmer,DV_PHO_kurtosis apq,DV_PHO_kurtosis ppq,DV_PHO_kurtosis logE
0,214.70382000763087,213.7640523772648,43.17865109369834,21.48719313536517,0.030046773405433845,0.026625503826256683,0.029088804387224127,4.792,4.792,0.01462042134307419,6.828905961996925e-05,0.006687413359767164,0.007299332467839942,0.02006224007930149,0.015816684992674877,6.634722577664726e-05,0.007528240088281376,0.009281602858894048,0.02258472026484413,0.13497058364472497,0.13497058364472497,0.05937237755666196,0.07529112390130865,0.10875444441251934,0.17811713266998586,0.1487130374059871,0.1487130374059871,0.05746616492103717,0.08824277006799183,0.15787870747333185,0.1723984947631115,-80.36754389144005,161.71124191665743,-0.21208314968850003,-0.2834913415013638,-118.36431300719994,-550.5824833421261,217.9496121694341,15.784064289852317,87.71369868667232,-0.4332095807559369,1.0543032324685253,18.05747826794788,-268.83256107366833,230.18103776364828,-41.08220622886534,71.24793881611856,0.5870304386189918,-0.2050107069325997,-52.24473611951501,-186.4828623506541,135.49947725750243,-56.91040352078468,60.47007122118759,-0.10881026890165282,-0.3260465409875235,-48.094742145329406,-207.53148495937492,98.09398300680868,35.10305170420164,50.918073441194785,0.32910909551591794,0.11925499617932589,30.776061629019996,-87.45230613575444,186.97874181410964,-69.81741563309541,57.073913635829655,-0.48983882566488274,-0.5185251061191476,-73.03723502368652,-228.3759150139783,27.26521468276328,-18.671922890310572,54.224083991586404,-0.217593777765337,-0.20716369098549414,-9.083372997589551,-166.8094258153467,125.43254333220789,-69.17137673277117,45.743020066352784,-0.1652911929616635,-0.9535935858238864,-70.77406708834108,-163.543431028882,21.752174141824643,1.6826224423275327,33.095179781102615,-0.5288552271184387,0.14585213839104805,3.037299055602806,-88.27147155218765,68.35379929839392,-33.91430827777604,36.104620010987254,-0.32579343604883276,-0.6548575967755284,-30.314425633817688,-123.37444085247009,36.76480791712406,39.39561733319393,28.844877824384756,0.7968994311078055,0.5436926818848757,33.79674565719205,-16.284488645770097,133.28827831325432,-22.94372535144472,30.78416920734633,-0.7646582728831426,0.7423632260608231,-18.234134281922895,-122.05085845573137,42.280119835786444,850.3639036939634,1825.3871003649256,2662.49512174816,3762.4583199157946,4467.753896204948,750.0917680169017,1868.6728182630927,2704.945166471629,3826.2719280492747,4529.691388198759,354.8500478887879,325.52063385868547,315.6883274821494,293.9521391694831,275.5501256001304,221.26409912109375,52.56726837158203,326.5310974121094,86.24978637695312,-0.6205690147855774,1.1985494760346702,8.327373017036813,44.89444014235147,342.7181601415814,112.44836536799758,893.535091160061,399.9416330346537,-364.63204520089187,0.11111908573074974,1.3561711308302742,2.83009682428768,1.3900382560166387,6.0460697896341475,313.25042724609375,7.861712455749512,323.5099792480469,295.56158447265625,-1.063613184989498,0.37216638708058847,193.01263427734375,10.18289566040039,205.00357055664062,174.83485412597656,-0.4167572413510665,-1.215674996478126,-30.546358136905667,2.8187203974259725,-0.2689781927120495,-1.2802234186149415,-111.70864353985974,107.80353662288736,-0.6010581060417762,-0.8377304006843596,3.435955027355699,4.31386433272267,1.5096130094713613,1.0385221281619152,-24.721372243641675,2.9980957827801364,-20.452147630950222,-29.015274755135053,0.06388173387842518,-1.414278142562689,-32.93440835288581,3.006264267839495,-28.23671551578927,-36.67051896920229,0.5016815846009534,-1.3049095874810495,-37.16848539207449,4.2466601805409345,-0.09787317851538738,-1.3299979183685047,26.852722934828815,107.41189232231314,-0.9558270857293393,-0.8528888566392716,13.493987230095883,10.636681964648707,0.2272164008704446,-1.4412971944714148,-42.830694118979814,0.9200991423901194,-41.79906096498116,-44.03329554177777,-0.2723068964978965,-1.4999999999999916,-40.63391138260546,5.9029808679696085,-33.39745965095856,-50.58236938914079,-0.38903147060946,-1.2161336444092072,1.4225425577315187,0.11400000000000002,0.08416650165000326,1.8182882505364892,2.377664365438404,0.34,0.03,0.08499999999999999,0.032015621187164243,1.0118944007228352e-15,-1.0481856038072581,0.13,0.04,0.5014285714285714,0.31651804604064476,1.1635984747599777,0.24588990476125705,1.18,0.21,2.5197415649676955,5.899159663865547,0.42713567839195976,0.5728643216080402,0.22735042735042738,0.1695156695156695,-2.4326331615448,0.14215703308582306,4.294637833757134,7.912654314033212,35.96410815846379,6.720306102839497,-31.134181676587026,31.442028045654297,43.851165771484375,8.35304463199807,11.088190195677997,22.115636075781577,9.451662389305364,5.901288505165027,0.5221571420577519,0.026035234144468653,3.5700768525231106,2.84521276641449,0.26734471367425705,2.274642724872299,-0.048665146862261525,12.515312808282461,5.4007122343762415,12.697221516966371,10.91414909475018,-0.48192399964427457,5.182385892681852,-0.5950551461321587
1,195.89389220827596,195.5875669607062,44.23461823422553,25.741624922934673,0.03583069605706634,0.03453532603148132,0.03222692010269908,4.672000000000001,4.672000000000001,0.014225708345906281,6.83161871555208e-05,0.0070343291469665776,0.008066578000115876,0.021102987440899734,0.012961863292698548,5.364879944358736e-05,0.004404889194578922,0.0052894171326619485,0.013214667583736767,0.1174526784126891,0.1174526784126891,0.04878988528621745,0.06980420529432345,0.10543501876987128,0.14636965585865236,0.13989121354541298,0.13989121354541298,0.05785034979608276,0.0885613586924163,0.1875992059719716,0.17355104938824828,-53.550228221426046,168.35381667164916,-0.1635259318317056,-0.9892734530152203,-52.67536026398418,-439.17878858682354,260.1376350922735,18.544624783256005,90.35086951696573,-0.6791327250167114,1.0493255838164215,32.16888164293781,-284.3921664116514,223.90066512174832,-47.77646638633074,76.50314007831611,0.2778846486333211,-0.03295971183025426,-55.8843424165546,-202.64424417454765,138.6046796496971,-66.32739563831738,64.36168246993923,-0.5585603412040265,-0.010172559153622363,-54.030744518682624,-259.520675489893,55.69869690812564,47.92516196924354,53.4795859997714,0.25728946077554865,0.4324116026921101,36.51766225561999,-101.11595052736995,218.7683662182673,-92.96111472681947,67.78396642592396,0.07145869136611119,-0.9810486314022673,-102.33710748536829,-253.1499164577528,55.53185426777995,-10.41320285500669,52.48327593163766,-0.08002028569988863,-0.11049585331747824,-6.138432948115428,-138.3928660381094,109.80818213338917,-76.10317966629256,49.50665159308542,-0.3112354811795188,-0.560963159173677,-76.11102582770287,-214.52672111076038,15.259830994222035,-12.635676030788435,38.59693245873668,-0.5464545308620407,0.7299910320960938,-7.641211050813959,-152.59438306975082,78.046285781733,-53.35563280324825,43.7137323925756,-0.5574152841631438,-0.16428999251674048,-49.72357430564308,-172.46574588304725,32.49119110910672,39.4489118565547,32.277369329423095,0.24803146884660995,-0.00859258784209116,39.92524473055948,-39.47670612131776,120.73296702466278,-18.304331003985855,32.07628732299129,-0.29241829674455644,-0.12456518577955977,-15.676909446957803,-92.61752388941214,55.231715273882834,833.9415505631817,1790.1315163382508,2638.739679765475,3703.689361974443,4168.014695270113,747.0549223859175,1809.1753993413615,2683.873231151016,3813.772759552497,4014.5923415486336,348.62452659795156,315.0840854783716,361.74854345366276,321.1506774066299,329.86279935078545,231.1411895751953,50.27582550048828,341.8033142089844,165.15293884277344,0.5491105036044112,-0.9518485220824258,53.061438377737616,50.65973836296461,436.1076190425367,125.00419845451572,1216.2773132324219,424.55461812709495,-589.6110534667944,0.12925465602893382,1.5638754005080764,2.6376974173526753,2.5419608045867905,5.017983878196397,183.23570251464844,1.7843786478042603,186.41110229492188,179.99598693847656,-0.02897487257405042,0.004470679583692405,180.51809692382812,9.933310508728027,201.63401794433594,165.15293884277344,0.43122000337444766,-0.9882681121533019,-26.8858895168979,1.9592183018963525,-0.55799770133719,-0.6718615766555548,-38.14458682578637,93.4495183939174,-0.8905155846515295,0.49586004768383773,1.9197869416477078,1.9181087663740386,0.5333090827393382,-1.3437868483003852,-23.790545324355467,0.28174023131956544,-23.41946738328735,-24.261394867475804,-0.42709811064871855,-0.8036569135431879,-24.205400501473168,1.817766482910897,-22.373204452987157,-27.249880181759405,-0.58012809551309,-1.2457836576703227,-31.19666877676883,3.2962082034152442,-0.17856502765058532,-0.8957093908801351,-27.065339502786475,54.95431524365313,0.07132997709105475,-1.5,8.991981769002503,2.4753487788298996,0.4036086802897807,-1.4999999999999996,-39.02941243268851,3.579984180439421,-32.81816859415625,-44.86832190053757,0.14105641085148096,-0.30476154603363614,-26.07561786313588,3.7492522298855486,-20.75351854922733,-31.970582332032578,-0.2623719888776778,-1.0395143684446926,1.4811005399845718,0.10666666666666666,0.08717797887081347,1.5571648836984335,1.2143993023494435,0.32,0.02,0.0625,0.028613807855648994,-0.25210697207471133,-1.0445778218052564,0.1,0.02,0.5483333333333333,0.3854182432400187,0.9965550100515032,-0.6224385675761388,1.28,0.22,3.241379310344828,8.773333333333333,0.3694581280788177,0.6305418719211823,0.19452887537993918,0.11398176291793313,-1.3751845359802246,0.015067113563418388,4.808765116198575,6.3939281314035785,35.13062611987979,6.19056892820347,-30.25232456774158,35.70468521118164,55.0456657409668,9.203204912121661,11.92553283035449,27.883053756064065,11.076043711542335,5.326030831130907,-0.7843177846590773,0.318708140328306,2.5939881693417064,3.2684859714550902,1.179834605561945,4.136058560705379,0.4887729108876932,6.619338105743877,5.184402922646553,5.830993293064099,12.196308940431987,1.100973830053765,22.328906511466155,-0.11969346362201927
2,204.0892862923512,203.77503361962795,46.84901105913284,25.670920313963258,0.0276288517221954,0.02270180092967091,0.02738698356885554,5.088000000000001,5.088000000000001,0.016481714943288026,7.362541252298108e-05,0.007486478773430559,0.008852890116822637,0.022459436320291674,0.018243634172766417,8.206305896903646e-05,0.006870949318863937,0.008615690747111002,0.020612847956591813,0.13825782089957026,0.13825782089957026,0.056636746714959225,0.08576122774613588,0.12452006421264628,0.16991024014487768,0.16328000383177335,0.16328000383177335,0.06890082706797059,0.10787000805474115,0.19204729872483284,0.20670248120391177,-79.05357267745245,174.92357207563916,0.018232675912175048,-0.8720817404749859,-148.226911699242,-502.7729470553844,234.9034634969281,16.472058433660557,84.53229541543033,-1.0509057721091644,3.01739595200249,18.174201206011112,-327.29227195983236,193.87261945693237,-38.53562584621587,72.04439187648674,0.6387307175953392,0.018441221976974287,-47.5113127466618,-167.45831085420684,170.14922067642792,-52.46334777173793,67.42793182944327,-0.6235936352752445,0.14260652576679123,-32.96162143436998,-258.3892747502292,81.57529639661436,37.138787773877134,47.71799277311491,1.0822276165682685,1.531214657329535,32.44678254803088,-40.41733321782579,228.24095963952584,-73.4372095525964,59.09543802738686,-0.6114191625032845,-0.39211301154224465,-60.76307850588492,-232.08935118888394,29.376852044224293,-6.480493540135595,52.30125393804506,0.07311002308283059,0.11979769618598546,-3.394481399252065,-122.74009493220487,138.08362163848335,-74.52611920942974,47.82234399818939,-0.5138032049894234,-0.5475834968224169,-68.36591118730507,-194.08405436323764,1.2613632783182838,-9.891403281361521,35.64843024938884,-0.5929933576614124,1.353206769252747,-3.529058478631708,-147.87359983761223,97.48491468702426,-43.23581873531165,35.28275428704463,-0.7927536015408662,0.2877890022572025,-39.375337312421074,-149.32681328379272,19.062655067726826,31.667619879189758,29.962165384696256,0.7907655084071223,0.4598651979481909,27.493971962533386,-28.92791142554631,125.35284146589375,-8.565562771567107,24.421872035689987,-0.2643898335717616,1.307051822189944,-9.929936562510502,-96.4998839021892,53.04010160204763,859.6424112727832,1811.1673387061142,2663.5928577341488,3705.3119380554967,4344.8885430482715,796.6559314017334,1848.8547937394883,2725.180558361543,3785.5487996788806,4457.96632716511,356.13747957273046,293.64795069283264,368.63477431278744,316.6289366771565,316.10381148131364,229.7924346923828,44.6446647644043,339.25244140625,157.0371856689453,0.5618758967132603,-0.8704420114862907,-40.06212871853058,51.496251973747675,435.18558647005426,124.46324517889235,1222.4485455137333,478.5992026189594,-699.5414733886694,1.0805472877408715,1.5577489407144594,3.0744596820443792,2.9318145748298585,7.679204819612092,193.1930389404297,4.633510112762451,198.33351135253906,185.72076416015625,-0.44747845243972295,-1.2915907928291033,190.9722442626953,10.011131286621094,210.0252685546875,174.56443786621094,-0.11923786248432984,-1.1975715752867653,-30.672090606081778,2.1172005852410574,0.015093716493272614,-1.0392768189191628,-26.235684331439096,107.18074405978714,-0.1205853630028893,-0.6804768315712044,2.595122408455889,3.786838080044154,1.4105664091845986,0.5772239109237982,-22.185984031462993,0.514140317564691,-21.660658737699123,-23.027600166100548,-0.7952254677427509,-0.9146983604799117,-37.82055574929112,1.3628072778855251,-34.47956907588153,-39.58068675295972,1.215998238115433,0.8353680902325062,-38.410174813548515,4.284793823935067,-0.051074948504682346,-1.2263083045543062,-33.518125632297426,138.6868527468598,0.04091526479077106,-1.706781356048783,17.466910113094833,15.562382870776938,0.32617228750082705,-1.1688666513504098,-46.20714087652521,5.590625637880103,-37.51789020204931,-54.41172441056337,0.05053934893992553,-1.1391479430552316,-56.48713502968027,6.903614639116061,-43.61867470558295,-64.24729399511267,0.5139716143255334,-0.9585435393129336,1.7403810709386576,0.09749999999999999,0.08632545009053434,1.8345221363258064,2.47088967824675,0.34,0.02,0.06666666666666667,0.037267799624996496,0.24328419595197764,-0.6800639999999998,0.13,0.01,0.5028571428571428,0.3715494308861699,0.951840905355012,-0.5137266570427714,1.24,0.19,3.06308919506889,7.542857142857142,0.40609137055837563,0.5939086294416244,0.19389204545454547,0.1325757575757576,-0.3186649680137634,0.011711756698787212,4.294891744243194,6.342568796137559,31.039634217895486,4.448509089927945,-31.17677085481976,27.465051651000977,42.279747009277344,7.139606659780187,11.515600200426224,23.313053444276875,5.473531014045097,5.252211968217279,0.050860844508604605,-1.1213420702094923,3.1754716892218813,4.102860462874237,1.0916079157590253,2.0814046868750475,0.1876630481431608,9.706746378642082,7.939936791123934,10.937537831947479,19.688608024749836,0.9428154232227381,4.50391719126231,-0.44145779192962786
3,215.4815083544738,215.53017770111654,43.60231731265373,25.593609458027046,0.03537719094797095,0.031154963607759902,0.03287177496814155,5.064,5.064,0.01471702369797781,6.631409826219133e-05,0.00674305996875704,0.008050114025974062,0.02022917990627112,0.015643142838203363,7.339518741713762e-05,0.005366115757279567,0.006778408928328058,0.0160983472718387,0.1228655361340017,0.1228655361340017,0.043484929970919725,0.06655234109950386,0.13040639981390587,0.13045478991275916,0.14019776876567197,0.14019776876567197,0.04739325552906844,0.07428431504724903,0.18921828153092846,0.14217976658720533,-37.51249026161266,181.69012872205755,-0.11441341151051698,-0.9019063414340391,-28.03113693902908,-516.467592028583,267.13223600757436,8.663854402736229,84.31928180304315,-0.516882055351053,0.4749885743925044,16.658622265642613,-261.9135405175489,200.90214665305592,-63.36297893983024,69.58452008751937,0.2934319713907601,-0.40375513185970924,-73.91860098108367,-206.33662646834284,136.23908388927495,-47.823204110252156,63.31033514846357,0.27034827213612733,0.1257644184895157,-45.567559438116376,-181.39912007614907,108.56479099396863,17.157357978003212,48.39342689222276,0.06738015785878584,0.2872257644329359,16.21733444303431,-129.76172200713728,162.38986079863187,-62.079314177892904,51.49933932467384,-0.8215163672069647,0.333745339376609,-51.697054454976566,-222.92954329794648,20.92493131359632,-24.7920401181187,50.58988954594066,-0.2919398305599814,-0.5269306104613154,-15.512635198799563,-140.8363300144419,90.88451138271812,-69.78667769593406,40.01887119650783,-0.45395631015382243,0.447111994517452,-71.27647664887897,-210.34425527563175,10.521796197628412,-18.05462794729045,38.51348008368585,-0.30741204766020563,-0.5271146473845039,-16.595877532543465,-109.95435410045532,57.699820620339004,-28.30919646799491,34.72921423906494,-0.6211589097655784,-0.011586054232492149,-24.26853338364866,-114.84501689031997,39.846411426009105,25.20867944761937,30.52700759382933,0.16318690662778848,-0.31181155676182293,22.452906073140426,-48.60275882693836,99.30548323002839,-23.099980942696895,32.423491371031176,-0.5071208759441758,0.42555812072177535,-23.126760929578758,-126.65389207037002,41.91513333443054,876.0672866688597,1812.1296448673456,2652.363361666679,3681.6279307684586,4477.368562475297,825.1534113504948,1817.3157985129649,2742.311416881208,3784.456300487942,4473.617823126368,371.364052438834,292.13039169432136,370.5015711675646,470.1269227326046,196.55419530603493,233.72377014160156,46.70075225830078,335.0989990234375,157.76431274414062,0.4720729849693618,-0.8777518172463807,75.92528761145456,39.12963633127387,429.8312016803786,68.72274150910548,1180.755881996421,270.09730940213683,-543.1160154796778,0.8912343177061662,1.008325396055785,2.477375787722112,0.8561937085764826,5.274691859739086,309.8447570800781,14.355687141418457,325.15325927734375,286.8349609375,-0.3969461037629841,-1.3759902520477976,196.35435485839844,16.973373413085938,245.60824584960938,168.9816131591797,1.2161497111442374,1.9287983893414582,-25.307659989059268,2.4805223252496496,-0.4438203100820038,-0.8963922243538037,-67.55957840340764,90.64727761840149,0.41729639651997036,-0.3319540372353691,2.784328315056474,3.603766710900099,1.5686731846169701,1.7997201807268652,-20.204256951808812,0.8599896800677918,-19.42598582375872,-21.65170136462191,-0.9639671566848756,-0.8040753245721839,-25.81597214360138,6.024479825062795,-19.475503279037298,-34.206099023884306,-0.32151666087477937,-1.6901042245568487,-31.147596451135932,3.5940277655611097,-0.30629700000775706,-0.9238824854145813,-47.87051843732845,174.54504669032858,-0.1782335990760251,0.4348297628003741,8.550373256445287,10.123161470913885,2.12462841786077,3.407378336627106,-22.62030292737821,2.2905258222725347,-20.67552295570824,-27.196772112346558,-1.1178570262638738,-0.42895126478290724,-51.84871623283372,6.2869284620516686,-42.35505477830803,-60.43066895834042,0.24428732279265505,-1.2973675903994948,2.190580503833516,0.10066666666666668,0.07252279335185288,2.144379917297778,4.003843018667705,0.33,0.03,0.08399999999999999,0.024576411454889015,-0.3039580733423394,-0.8839963159510549,0.12,0.04,0.4616666666666667,0.273216438418742,1.021528855147836,-0.4596446189142056,0.99,0.22,2.5000000000000004,5.496031746031747,0.4548736462093862,0.5451263537906138,0.2180505415162455,0.18194945848375446,-1.227639079093933,-0.26478615403175354,3.88548852495564,6.170895924155505,40.252646870646004,4.541924018223663,-27.36701060668207,27.747058868408203,39.74246597290039,7.272664311100767,10.539854114439558,30.54125143791316,6.891848031448698,6.448002899911956,-3.521904495211327,-0.13748858774920444,4.434969794280462,2.8770193293747766,0.973799984175231,3.000370274325735,0.14249656578178171,18.417669875500444,11.29880354664226,22.40260102722439,8.576973483553486,0.22747442181295074,10.149540290128192,-0.3119346934284639
